SiteID,SiteId_DC,FieldDate,FieldTime,co2ppm,ch4ppm,wt.x,ph,ch4c_µgl,hco3_moll,dic_mgl,pco2_µatm,co2c_mgl,Timestamp,Date,date,month_day,wt.y,wt_filled,,SampleID
60,DC3,2021-10-25,1899-12-31 13:37:00,555.5550307,0.83847863,NA,4.92,1.777629618,4.77412014603225e-09,1.16669903,NA,NA,2021-10-25 13:37,2021-10-25,2021-10-25,25-Oct,2.42840625,2.42840625,,DC3 2021-10-25
60,DC3,2019-12-12,1899-12-31 10:29:00,596.275343,NA,NA,5.08,NA,5.12404707038847e-09,1.252214139,NA,NA,2019-12-12 10:29,2019-12-12,2019-12-12,12-Dec,NA,2,,DC3 2019-12-12
60,DC3,2019-11-20,1899-12-31 14:54:00,814.2248553,NA,NA,4.94,NA,6.99697972319143e-09,1.709921244,NA,NA,2019-11-20 14:54,2019-11-20,2019-11-20,20-Nov,NA,2,,DC3 2019-11-20
60,DC3,2021-10-12,NA,620.8263695,1.898520817,NA,4.94,4.024988491,5.335024460228e-09,1.303772774,NA,NA,2021-10-12,2021-10-12,2021-10-12,12-Oct,6.213916667,6.213916667,,DC3 2021-10-12
60,DC3,2024-08-13,1899-12-31 10:33:00,781,7.23,NA,4.98,15.32807359,6.71146444167829e-09,1.640147047,NA,NA,2024-08-13 10:33,2024-08-13,2024-08-13,13-Aug,13.62979167,13.62979167,,DC3 2024-08-13
60,DC3,2021-07-07,1899-12-31 09:31:00,948.5156469,5.530080146,NA,4.96,11.72413215,8.15099748621022e-09,1.991939996,NA,NA,2021-07-07 09:31,2021-07-07,2021-07-07,07-Jul,17.42291667,17.42291667,,DC3 2021-07-07
60,DC3,2022-03-08,1899-12-31 15:12:00,877,NA,NA,5.64,NA,7.5364331822687e-09,1.841752829,NA,NA,2022-03-08 15:12,2022-03-08,2022-03-08,08-Mar,NA,2,,DC3 2022-03-08
60,DC3,2021-05-04,1899-12-31 12:59:00,758.8415921,NA,NA,4.82,NA,6.52104783866112e-09,1.593613055,NA,NA,2021-05-04 12:59,2021-05-04,2021-05-04,04-May,NA,2,,DC3 2021-05-04
60,DC3,2021-11-10,1899-12-31 11:25:00,682.0213108,1.336880901,NA,5.16,2.83427508,5.86089856097977e-09,1.432285837,NA,NA,2021-11-10 11:25,2021-11-10,2021-11-10,10-Nov,NA,2,,DC3 2021-11-10
60,DC3,2021-04-21,1899-12-31 13:43:00,786.1877943,NA,NA,4.73,NA,6.75604535939136e-09,1.651041727,NA,NA,2021-04-21 13:43,2021-04-21,2021-04-21,21-Apr,NA,2,,DC3 2021-04-21
60,DC3,2022-04-29,1899-12-31 10:57:00,703,NA,NA,5.21,NA,6.04117733994857e-09,1.476342348,NA,NA,2022-04-29 10:57,2022-04-29,2022-04-29,29-Apr,NA,2,,DC3 2022-04-29
60,DC3,2022-05-16,1899-12-31 15:30:00,441,0.94,NA,5.2,1.992861573,3.78970015208723e-09,0.926126565,NA,NA,2022-05-16 15:30,2022-05-16,2022-05-16,16-May,8.536229167,8.536229167,,DC3 2022-05-16
